id,course_name,provider,description,course_status,pricing,duration_in_hours,rating,reviews,best_of_all_time,url
0,CS50's Introduction to Computer Science,edX,An introduction to the intellectual enterprises of computer science and the art of programming.,On-Demand,Free Online Course (Audit),144,4.5,198,1,https://www.classcentral.com/course/computer-science-harvard-university-cs50-s-introd-442
1,Harvard CS50 – Full Computer Science University Course,freeCodeCamp,"Learn the basics of computer science from Harvard University. This is CS50, an introduction to the intellectual enterprises of computer science and the art of programming.",On-Demand,Free Video,24,4.5,865,0,https://www.classcentral.com/classroom/freecodecamp-harvard-cs50-full-computer-science-university-course-119762
2,Introduction to Computer Science and Programming Using Python,edX,An introduction to computer science as a tool to solve real-world analytical problems using Python 3.5.,On-Demand,Free Online Course (Audit),135,4.5,131,1,https://www.classcentral.com/course/computer-science-massachusetts-institute-of-techn-1341
3,Introduction to Electrical Engineering and Computer Science I,MIT OpenCourseWare,"This course provides an integrated introduction to electrical engineering and computer science, taught using substantial laboratory experiments with mobile robots.",On-Demand,Free Video,17,4.5,49,0,https://www.classcentral.com/classroom/mit-ocw-6-01sc-introduction-to-electrical-engineering-and-computer-science-i-spring-2011-40932
4,CS50's Computer Science for Business Professionals,edX,This is CS50’s introduction to computer science for business professionals.,On-Demand,Free Online Course (Audit),24,5,21,0,https://www.classcentral.com/course/computer-science-harvard-university-cs50-s-comput-10143
5,"Internet History, Technology, and Security",Coursera,"This course will open up the Internet and show you how it was created, who created it and how it works. Along the way we will meet many of the innovators who developed the Internet and Web technologies that we use today.",On-Demand,Free Online Course (Audit),15,4.5,42,1,https://www.classcentral.com/course/insidetheinternet-335
6,Computer Science 101,edX,Introduction to Computer Science for a zero-prior-experience audience. Play with little phrases of code to understand what computers are all about.,On-Demand,Free Online Course (Audit),30,4,19,0,https://www.classcentral.com/course/computer-science-stanford-university-computer-sci-2175
7,Computational Social Science Methods,Coursera,"Explore computational social science's impact on society, covering data science, machine learning, social networks, and simulations. Gain insights into digital footprints and emerging social patterns.",On-Demand,Free Online Course (Audit),11.33333333,4.5,139,1,https://www.classcentral.com/course/computational-social-science-methods-17299
8,Functional Programming Principles in Scala,Coursera,In this course you will discover the elements of the functional programming style and learn how to apply them usefully in your daily programming tasks.,On-Demand,Free Online Course (Audit),56,4.5,65,1,https://www.classcentral.com/course/progfun-422
9,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Coursera,"Hands-on journey to build a modern computer system from logic gates to a functioning general-purpose computer, covering hardware, machine language, and assembly.",On-Demand,Free Online Course (Audit),44,5,28,1,https://www.classcentral.com/course/build-a-computer-3234
10,Computer Simulations,Coursera,"Explore complex social phenomena through computer simulations. Learn to create and analyze agent-based models, combining hypothetical scenarios with real-world data to study and improve societal systems.",On-Demand,Free Online Course (Audit),12.81666667,5,52,0,https://www.classcentral.com/course/computer-simulations-17986
11,Introduction to Computer Science and Programming in Python,MIT OpenCourseWare,The course is intended for students with little or no programming experience. It aims to provide students with an understanding of the role computation can play in solving problems and to help students.,On-Demand,Free Video,10,4.5,7,0,https://www.classcentral.com/classroom/mit-ocw-6-0001-introduction-to-computer-science-and-programming-in-python-fall-2016-40930
12,An Introduction to Logic for Computer Science,Coursera,"Explore propositional logic fundamentals and applications in computer science, enhancing problem-solving skills through hands-on exercises and real-world examples.",On-Demand,Free Online Course (Audit),7.3,4.5,9,0,https://www.classcentral.com/course/an-introduction-to-logic-in-computer-science-202050
13,CS50's Computer Science for Lawyers,edX,"This course is a variant of Harvard University's introduction to computer science, CS50, designed especially for lawyers (and law students).",On-Demand,Free Online Course (Audit),45,5,8,0,https://www.classcentral.com/course/computer-science-harvard-university-cs50-s-comput-16857
14,Computational Social Science Capstone Project,Coursera,"Integrative lab applying computational social science skills: web scraping, network analysis, NLP, and agent-based modeling to analyze social media data and simulate idea diffusion.",On-Demand,Free Online Course (Audit),13.63333333,4.5,34,0,https://www.classcentral.com/course/css-capstone-17985
15,CSS Variable Secrets - Harnessing the Full Power of Custom Properties,YouTube,"Unlock the full potential of CSS custom properties with expert tips, tricks, and gotchas. Gain a deeper understanding and refresh your CSS toolbox in this interactive journey from practical to cutting-edge techniques.",On-Demand,Free Video,0.983333333,0,0,0,https://www.classcentral.com/classroom/youtube-css-variable-secrets-lea-verou-css-day-2022-251302
16,Machine Learning - Lecture 2,YouTube,"Explore machine learning fundamentals, focusing on linear regression, gradient descent, and model evaluation techniques for predictive analysis and data-driven decision making.",On-Demand,Free Video,2.95,0,0,0,https://www.classcentral.com/classroom/youtube-csep-546-lecture-2-253881
17,"CSS Position Deep Dive - Understanding Static, Relative, Absolute, Fixed, and Sticky",YouTube,"Comprehensive exploration of CSS positioning properties, covering static, relative, absolute, fixed, and sticky, with practical examples and insights into containing blocks and potential pitfalls.",On-Demand,Free Video,0.466666667,0,0,0,https://www.classcentral.com/classroom/youtube-css-position-deep-dive-270048
18,CSS Art Crash Course - By Example,YouTube,"Learn to create simple illustrations using HTML and CSS techniques, exploring CSS art through hands-on examples and step-by-step guidance.",On-Demand,Free Video,0.433333333,0,0,0,https://www.classcentral.com/classroom/youtube-css-art-crash-course-by-example-153825
19,You Probably Want Position- Sticky Instead of Fixed,YouTube,"Explore the differences between position: fixed and sticky in CSS, with practical examples and creative use cases for sticky positioning in web design.",On-Demand,Free Video,0.266666667,0,0,0,https://www.classcentral.com/classroom/youtube-you-probably-want-position-sticky-instead-of-fixed-182684
20,CSS Background Values: Space and Round - Enhancing Image Repetition,YouTube,"Discover lesser-known CSS background values: space and round. Learn their unique behaviors, browser support, and practical applications to enhance your web designs.",On-Demand,Free Video,0.25,0,0,0,https://www.classcentral.com/classroom/youtube-the-background-values-no-one-knows-about-283689
21,Creating a Cool Bubble Zoom Effect with CSS,YouTube,"Learn to create an engaging bubble zoom effect using CSS, including grid animations, avatar scaling, and transition delays for a dynamic and interactive design.",On-Demand,Free Video,0.316666667,0,0,0,https://www.classcentral.com/classroom/youtube-create-a-cool-bubble-zoom-effect-with-css-286145
22,Cloning CSS Day Effect Using Modern CSS,YouTube,"Learn to recreate a fun CSS effect from CSS Day using modern techniques. Explore grid layouts, image positioning, and hover effects to enhance your web design skills.",On-Demand,Free Video,0.433333333,0,0,0,https://www.classcentral.com/classroom/youtube-can-i-clone-this-fun-effect-from-css-day-using-modern-css-284430
23,Start Over-Engineering Your CSS - Benefits and Techniques,YouTube,"Explore the benefits of embracing complexity in CSS solutions, deepening understanding and creating robust alternatives to simple approaches.",On-Demand,Free Video,0.833333333,0,0,0,https://www.classcentral.com/classroom/youtube-start-over-engineering-your-css-kevin-powell-css-day-2024-303428
24,Simple Details and Summary Animation with Pure CSS,YouTube,"Master modern CSS techniques to create smooth animations for details/summary elements, exploring interpolate-size and pseudo-elements for enhanced user interactions.",On-Demand,Free Video,0.216666667,0,0,0,https://www.classcentral.com/classroom/youtube-at-last-simple-details-summary-animation-with-pure-css-364940
25,Solving CSS Battles - Live Coding and Problem-Solving,YouTube,"Watch a live CSS problem-solving session as the instructor tackles complex challenges on CSS Battles, demonstrating effective techniques and thought processes for mastering advanced CSS skills.",On-Demand,Free Video,0.466666667,0,0,0,https://www.classcentral.com/classroom/youtube-am-i-good-enough-to-solve-these-css-battles-305230
26,Master CSS Overflow and Text Wrapping Techniques for Senior Developers,YouTube,"Discover advanced CSS overflow and text wrapping techniques, including lesser-known properties like overflow-anchor, word-break, and line-clamp, to enhance your web development skills.",On-Demand,Free Video,0.35,0,0,0,https://www.classcentral.com/classroom/youtube-master-css-overflow-text-wrapping-like-a-senior-developer-305232
27,7 CSS Responsive Sizing Features You Should Know,YouTube,"Discover 7 essential CSS responsive sizing features for optimal element sizing and layout control, enhancing your web design skills and site functionality.",On-Demand,Free Video,0.216666667,0,0,0,https://www.classcentral.com/classroom/youtube-you-should-know-these-7-css-responsive-sizing-features-305239
28,CSS Popover and Anchor Positioning Tutorial - Creating Dynamic Element Connections,YouTube,"Master CSS anchor positioning and popover functionality to create dynamic, position-aware elements with modern techniques and polyfills for cross-browser compatibility and smooth animations.",On-Demand,Free Video,0.35,0,0,0,https://www.classcentral.com/classroom/youtube-css-popover-anchor-positioning-is-magical-381454
29,Creating a Rotating Gradient Border Effect with CSS,YouTube,"Master CSS gradient animations by recreating a rotating, blurred border effect with conic gradients, masks, and pseudo-elements. Learn advanced techniques for creating dynamic visual effects through practical implementation.",On-Demand,Free Video,0.383333333,0,0,0,https://www.classcentral.com/classroom/youtube-can-i-clone-this-rotating-gradient-inner-glow-effect-385872
30,Top 5 Front-End Development Tips - From Console.log to Modern CSS,YouTube,"Discover essential front-end development tricks, from CSS debugging techniques and dynamic favicons to advanced number input handling and modern CSS functions like min() for more efficient coding.",On-Demand,Free Video,0.366666667,0,0,0,https://www.classcentral.com/classroom/youtube-my-top-5-most-popular-front-end-tips-355430
31,CSS @scope: Simplifying Naming and Specificity Management,YouTube,"Explore @scope in CSS: simplify naming, manage specificity, and enhance style organization. Learn its benefits, usage, and potential challenges in this comprehensive guide.",On-Demand,Free Video,0.433333333,0,0,0,https://www.classcentral.com/classroom/youtube-naming-things-just-got-easier-thanks-to-atscope-296147
32,5 Common CSS Mistakes Beginners Should Avoid,YouTube,"Learn to avoid common CSS pitfalls, including collapsing margins, overusing positioning, and misusing flexbox/grid. Gain insights on best practices for efficient and effective styling.",On-Demand,Free Video,0.366666667,0,0,0,https://www.classcentral.com/classroom/youtube-avoid-these-5-beginner-css-mistakes-292458
33,Transitioning To and From Display: None in CSS,YouTube,"Learn to smoothly animate elements between visible and hidden states using CSS transitions and the new @starting-style rule, with tips on browser support and best practices.",On-Demand,Free Video,0.35,0,0,0,https://www.classcentral.com/classroom/youtube-we-can-now-transition-to-and-from-display-none-294992
34,@property - One of the Coolest New CSS Features,YouTube,"Explore the revolutionary @property CSS feature, its potential impact, and how to effectively implement it in your web development projects.",On-Demand,Free Video,0.183333333,0,0,0,https://www.classcentral.com/classroom/youtube-atproperty-is-one-of-the-coolest-new-css-features-312517
35,Dynamic Numbering with CSS Counters,YouTube,"Explore dynamic numbering with CSS counters, from basic implementation to advanced techniques. Learn to create, increment, and customize counters for enhanced web design.",On-Demand,Free Video,0.2,0,0,0,https://www.classcentral.com/classroom/youtube-dynamic-numbering-with-css-counters-328838
