course,skills_taught,skills_in_market,score
"DatSci - Data Science — Introduces data mining, v","applying machine learning, managing big data, mining data, using python, visualizing data","applying machine learning, mining data, using python, visualizing data",84
WebDev - Web Development Technologies — Covers fr,"applying javascript, applying restful apis, implementing ai-driven features, integrating analytics tools, managing versions with git, using angular, using node.js, using react, using vue.js","applying javascript, applying restful apis, integrating analytics tools, managing versions with git, using angular, using node.js, using react, using vue.js",84
"Prog2 - Advanced Programming — Builds on Prog1,","implementing object-oriented programming, leveraging standard libraries, preparing for certification, prototyping projects, using data structures","implementing object-oriented programming, leveraging standard libraries, prototyping projects, using data structures",77
AI - Artificial Intelligence — Covers AI prob,"analyzing data, applying search algorithms, representing knowledge, solving ai problems, using machine learning techniques","analyzing data, applying search algorithms, solving ai problems, using machine learning techniques",73
SAD - Systems Analysis and Design — Covers met,"analyzing business requirements, applying object-oriented modeling tools, designing database schemas, prototyping user interfaces, using systems development life cycle models","analyzing business requirements, applying object-oriented modeling tools, designing database schemas, prototyping user interfaces, using systems development life cycle models",72
ML - Machine Learning — Introduces ML algorit,"applying reinforcement learning, implementing machine learning algorithms, performing supervised learning, performing unsupervised learning, using neural networks, using python, using r, using support vector machines","implementing machine learning algorithms, performing supervised learning, using neural networks, using python, using support vector machines",71
Info1 - Information Management 1 — Covers databa,"creating er diagrams, designing databases, developing database applications, modeling database schemas, writing sql queries","designing databases, developing database applications, modeling database schemas, writing sql queries",70
Prog1 - Programming Essentials — Focused on prob,"debugging programs, designing programs, following cisco standards, implementing programs, testing programs, using a general-purpose language","debugging programs, designing programs, implementing programs, testing programs",69
MobAp - Mobile-Based Application Development — T,"developing mobile apps, implementing ai in mobile apps, integrating analytics into mobile apps, managing mobile app data, using platform-specific mobile development tools","developing mobile apps, implementing ai in mobile apps, integrating analytics into mobile apps, using platform-specific mobile development tools",69
Thesis1 - Thesis 1 — Students propose and plan com,"applying data science principles, defending technical proposals, designing ai models, implementing ai algorithms, performing data analysis","applying data science principles, designing ai models, implementing ai algorithms, performing data analysis",68
